id,name,,parent_id,icon,created_at,updated_at
102,Communications,communications,86,,2026-05-15 08:15:35,2026-05-15 08:15:35
103,Competitive Strategy,competitive-strategy,86,,2026-05-15 08:15:35,2026-05-15 08:15:35
104,Crisis Resource Management,crisis-resource-management,86,,2026-05-15 08:15:35,2026-05-15 08:15:35
105,Customer Relationship Management,customer-relationship-management,86,,2026-05-15 08:15:35,2026-05-15 08:15:35
106,Data Extraction,data-extraction,86,,2026-05-15 08:15:35,2026-05-15 08:15:35
107,Digital Marketing,digital-marketing,86,,2026-05-15 08:15:35,2026-05-15 08:15:35
108,Ecommerce,ecommerce,86,,2026-05-15 08:15:35,2026-05-15 08:15:35
109,Enterprise Sales,enterprise-sales,86,,2026-05-15 08:15:35,2026-05-15 08:15:35
110,Excel,excel,86,,2026-05-15 08:15:35,2026-05-15 08:15:35
111,Excel Formulas,excel-formulas,86,,2026-05-15 08:15:35,2026-05-15 08:15:35
112,Finance,finance,86,,2026-05-15 08:15:35,2026-05-15 08:15:35
113,Financial Accounting,financial-accounting,86,,2026-05-15 08:15:35,2026-05-15 08:15:35
114,Financial Management,financial-management,86,,2026-05-15 08:15:35,2026-05-15 08:15:35
115,Growth Marketing,growth-marketing,86,,2026-05-15 08:15:35,2026-05-15 08:15:35
116,Hospitality,hospitality,86,,2026-05-15 08:15:35,2026-05-15 08:15:35
117,Hospitality Management,hospitality-management,86,,2026-05-15 08:15:35,2026-05-15 08:15:35
118,Human Resources,human-resources,86,,2026-05-15 08:15:35,2026-05-15 08:15:35
119,Information Security,information-security,86,,2026-05-15 08:15:35,2026-05-15 08:15:35
120,Innovation,innovation,86,,2026-05-15 08:15:35,2026-05-15 08:15:35
121,Intellectual Property,intellectual-property,86,,2026-05-15 08:15:35,2026-05-15 08:15:35
122,International Business,international-business,86,,2026-05-15 08:15:35,2026-05-15 08:15:35
123,International Project Management,international-project-management,86,,2026-05-15 08:15:35,2026-05-15 08:15:35
124,It Support,it-support,86,,2026-05-15 08:15:35,2026-05-15 08:15:35
125,Knowledge Management,knowledge-management,86,,2026-05-15 08:15:35,2026-05-15 08:15:35
126,Landscape Finance,landscape-finance,86,,2026-05-15 08:15:35,2026-05-15 08:15:35
127,Leadership,leadership,86,,2026-05-15 08:15:35,2026-05-15 08:15:35
128,Lean Product Management,lean-product-management,86,,2026-05-15 08:15:35,2026-05-15 08:15:35
129,Luxury Management,luxury-management,86,,2026-05-15 08:15:35,2026-05-15 08:15:35
130,Management,management,86,,2026-05-15 08:15:35,2026-05-15 08:15:35
131,Management Accounting,management-accounting,86,,2026-05-15 08:15:35,2026-05-15 08:15:35
132,Marketing,marketing,86,,2026-05-15 08:15:35,2026-05-15 08:15:35
133,Mba Courses,mba-courses,86,,2026-05-15 08:15:35,2026-05-15 08:15:35
134,Mergers And Acquisitions,mergers-and-acquisitions,86,,2026-05-15 08:15:35,2026-05-15 08:15:35
135,Microsoft Dynamics,microsoft-dynamics,86,,2026-05-15 08:15:35,2026-05-15 08:15:35
136,Negotiations,negotiations,86,,2026-05-15 08:15:35,2026-05-15 08:15:35
137,Operations,operations,86,,2026-05-15 08:15:35,2026-05-15 08:15:35
138,Operations Management,operations-management,86,,2026-05-15 08:15:35,2026-05-15 08:15:35
